CustomerID,Recency,Frequency,Monetary,Cluster,PCA1,PCA2,Segment
12346.0,326,12,77556.46,1,3.355787808701003,2.4221138292273596,At Risk
12347.0,2,8,5633.32,1,0.5367365025540863,-0.7983151409820722,At Risk
12348.0,75,5,2019.3999999999999,1,0.10004286406699214,-0.5953152857855186,At Risk
12349.0,19,4,4428.69,1,0.24679545224545077,-0.7940129487657018,At Risk
12350.0,310,1,334.4,0,-0.5745859237078507,0.35876410567671013,Loyal Customers
12351.0,375,1,300.93,0,-0.6844782128838687,0.6446253243835355,Loyal Customers
12352.0,36,10,2849.84,1,0.46249323072234166,-0.6954106932395647,At Risk
12353.0,204,2,406.76,0,-0.3423949515790521,-0.09663638773905961,Loyal Customers
12354.0,232,1,1079.4,0,-0.41183878071324753,0.032881349265488434,Loyal Customers
12355.0,214,2,947.61,0,-0.3353831440468746,-0.03937199237286701,Loyal Customers
12356.0,23,6,6373.68,1,0.42973269516767365,-0.7083629333479748,At Risk
12357.0,33,3,18287.66,1,0.7783518569230244,-0.405379045277968,At Risk
12358.0,2,5,3887.07,1,0.30362977869887264,-0.8718282495745704,At Risk
12359.0,58,10,8935.94,1,0.6924058911539348,-0.45028953365278745,At Risk
12360.0,52,8,4252.89,1,0.39286001883780247,-0.6113852864818123,At Risk
12361.0,287,4,511.25,0,-0.37186296252996426,0.29265008330179565,Loyal Customers
12362.0,3,11,5356.2300000000005,1,0.6795396955334617,-0.7696253739209533,At Risk
12363.0,110,2,552.0,1,-0.1792316950840226,-0.5076793576925835,At Risk
12364.0,8,4,1313.1,1,0.12866139875128238,-0.9183386373445691,At Risk
12365.0,291,2,641.38,0,-0.47724121681093534,0.29277691742242956,Loyal Customers
12366.0,634,1,500.24,2,-1.1077833892902695,1.7917672846934674,Champions
12367.0,4,1,168.9,1,-0.07139924919501044,-0.9948436995764083,At Risk
12368.0,628,1,917.7,2,-1.0794873673737673,1.7754629315316746,Champions
12369.0,413,3,1791.15,0,-0.5781780338183355,0.8691628776925633,Loyal Customers
12370.0,51,7,4320.31,1,0.3452783368770459,-0.6244957488643053,At Risk
12371.0,45,5,4067.38,1,0.23980050219505658,-0.6777938213414509,At Risk
12372.0,72,3,1298.04,1,-0.03095952879399786,-0.646780436597522,At Risk
12373.0,311,3,1127.65,0,-0.43709809453824733,0.40315775993426917,Loyal Customers
12374.0,25,4,2989.2200000000003,1,0.17372875252733805,-0.8025770658251272,At Risk
12375.0,11,2,457.5,1,-0.018230140000562337,-0.9466078701998623,At Risk
12376.0,390,2,503.15,0,-0.6484378578962632,0.7260424334085548,Loyal Customers
12377.0,315,4,3426.32,0,-0.2908705794274235,0.4870732442660969,Loyal Customers
12378.0,130,2,5416.32,1,0.0004952509320134784,-0.3011084413174107,At Risk
12379.0,82,4,1620.22,1,0.018676321683476833,-0.5844963249079409,At Risk
12380.0,22,11,9676.3,1,0.8370930492889306,-0.5807080344939551,At Risk
12381.0,5,5,1845.31,1,0.20918314489868653,-0.9082790142267344,At Risk
12383.0,185,5,1850.56,1,-0.0908437237780071,-0.11428026071974556,At Risk
